"selected_spots$out1","X.Coordinate","Y.Coordinate"
"priorregion1_spot_1",4101,4605
"priorregion1_spot_2",3895,3048
"priorregion1_spot_3",4858,3048
"priorregion1_spot_4",3964,4126
"priorregion1_spot_5",4514,4605
"priorregion1_spot_6",3826,4126
"priorregion1_spot_7",4376,4844
"priorregion1_spot_8",4445,3527
"priorregion1_spot_9",4445,4006
"priorregion1_spot_10",4652,4126
"priorregion1_spot_11",3895,3527
"priorregion1_spot_12",4170,4245
"priorregion1_spot_13",4583,3288
"priorregion1_spot_14",4032,4245
"priorregion1_spot_15",3895,4485
"priorregion1_spot_16",4583,4724
"priorregion1_spot_17",4376,4605
"priorregion1_spot_18",4996,3767
"priorregion1_spot_19",4789,3886
"priorregion1_spot_20",3826,3168
"priorregion1_spot_21",3826,4605
"priorregion1_spot_22",4996,3048
"priorregion1_spot_23",4308,3288
"priorregion1_spot_24",3895,4245
"priorregion1_spot_25",4514,4365
"priorregion1_spot_26",3757,4245
"priorregion1_spot_27",5133,3048
"priorregion1_spot_28",4239,4365
"priorregion1_spot_29",4376,3886
"priorregion1_spot_30",4927,3168
"priorregion1_spot_31",4308,4485
"priorregion1_spot_32",4239,3407
"priorregion1_spot_33",4583,3527
"priorregion1_spot_34",4858,3767
"priorregion1_spot_35",3895,4006
"priorregion1_spot_36",3964,4844
"priorregion1_spot_37",4652,3647
"priorregion1_spot_38",3826,3407
"priorregion1_spot_39",4377,3407
"priorregion1_spot_40",4170,3288
"priorregion1_spot_41",4170,4964
"priorregion1_spot_42",4170,3527
"priorregion1_spot_43",4376,4365
"priorregion1_spot_44",3757,3048
"priorregion1_spot_45",4720,4724
"priorregion1_spot_46",4308,3527
"priorregion1_spot_47",5133,3288
"priorregion1_spot_48",4789,4365
"priorregion1_spot_49",4514,3886
"priorregion1_spot_50",4376,3647
"priorregion1_spot_51",4858,4485
"priorregion1_spot_52",4170,3767
"priorregion1_spot_53",4033,3527
"priorregion1_spot_54",4720,4006
"priorregion1_spot_55",4239,3168
"priorregion1_spot_56",4789,3168
"priorregion1_spot_57",4583,4485
"priorregion1_spot_58",4652,4365
"priorregion1_spot_59",4170,4724
"priorregion1_spot_60",3757,4485
"priorregion1_spot_61",4239,4605
"priorregion1_spot_62",4720,4485
"priorregion1_spot_63",4308,3767
"priorregion1_spot_64",4445,4245
"priorregion1_spot_65",4101,3407
"priorregion1_spot_66",3964,4605
"priorregion1_spot_67",4652,3408
"priorregion1_spot_68",4583,3048
"priorregion1_spot_69",5064,3886
"priorregion1_spot_70",4308,4964
"priorregion1_spot_71",4514,3168
"priorregion1_spot_72",3757,3527
"priorregion1_spot_73",4720,3767
"priorregion1_spot_74",4652,3886
"priorregion1_spot_75",4101,4365
"priorregion1_spot_76",4927,3647
"priorregion1_spot_77",4858,4006
"priorregion1_spot_78",4170,4485
"priorregion1_spot_79",4170,3048
"priorregion1_spot_80",4033,3048
"priorregion1_spot_81",4445,4485
"priorregion1_spot_82",4721,3288
"priorregion1_spot_83",4101,4126
"priorregion1_spot_84",4101,3168
"priorregion1_spot_85",3826,3886
"priorregion1_spot_86",3964,3647
"priorregion1_spot_87",4101,3647
"priorregion1_spot_88",4652,3168
"priorregion1_spot_89",4514,3408
"priorregion1_spot_90",4445,3767
"priorregion1_spot_91",3757,3288
"priorregion1_spot_92",3964,4365
"priorregion1_spot_93",4032,4006
"priorregion1_spot_94",4858,3527
"priorregion1_spot_95",3826,3647
"priorregion1_spot_96",4927,4126
"priorregion1_spot_97",4377,3168
"priorregion1_spot_98",4789,4605
"priorregion1_spot_99",5064,3647
"priorregion1_spot_100",3895,3288
"priorregion1_spot_101",3895,4724
"priorregion1_spot_102",4858,3288
"priorregion1_spot_103",4721,3048
"priorregion1_spot_104",4514,4126
"priorregion1_spot_105",4445,3048
"priorregion1_spot_106",4583,4245
"priorregion1_spot_107",3964,3168
"priorregion1_spot_108",4445,3288
"priorregion1_spot_109",5065,3168
"priorregion1_spot_110",4927,3886
"priorregion1_spot_111",4239,3647
"priorregion1_spot_112",3895,3767
"priorregion1_spot_113",4789,3408
"priorregion1_spot_114",4583,4006
"priorregion1_spot_115",4927,4365
"priorregion1_spot_116",4376,4126
"priorregion1_spot_117",4720,4246
"priorregion1_spot_118",4308,4006
"priorregion1_spot_119",4101,4844
"priorregion1_spot_120",4514,4844
"priorregion1_spot_121",4858,4246
"priorregion1_spot_122",4308,4724
"priorregion1_spot_123",4033,3288
"priorregion1_spot_124",3964,3886
"priorregion1_spot_125",4170,4006
"priorregion1_spot_126",3964,3407
"priorregion1_spot_127",4789,3647
"priorregion1_spot_128",3757,3767
"priorregion1_spot_129",4308,3048
"priorregion1_spot_130",4927,3408
"priorregion1_spot_131",4652,4605
"priorregion1_spot_132",4032,4485
"priorregion1_spot_133",4032,3767
"priorregion1_spot_134",4032,4724
"priorregion1_spot_135",3826,4365
"priorregion1_spot_136",4720,3527
"priorregion1_spot_137",4996,4006
"priorregion1_spot_138",5065,3408
"priorregion1_spot_139",4996,3527
"priorregion1_spot_140",4239,4844
"priorregion1_spot_141",4789,4126
"priorregion1_spot_142",4514,3647
"priorregion1_spot_143",4583,3767
"priorregion1_spot_144",4239,4126
"priorregion1_spot_145",4308,4245
"priorregion1_spot_146",4239,3886
"priorregion1_spot_147",4445,4724
"priorregion1_spot_148",5133,3527
"priorregion1_spot_149",4996,3288
"priorregion1_spot_150",3757,4006
"priorregion1_spot_151",4101,3886
"priorregion2_spot_1",5477,4126
"priorregion2_spot_2",4720,5203
"priorregion2_spot_3",5202,5323
"priorregion2_spot_4",5821,3049
"priorregion2_spot_5",6028,4126
"priorregion2_spot_6",5684,4006
"priorregion2_spot_7",5753,3168
"priorregion2_spot_8",5752,3647
"priorregion2_spot_9",5271,4246
"priorregion2_spot_10",5064,4126
"priorregion2_spot_11",6096,4485
"priorregion2_spot_12",5546,3767
"priorregion2_spot_13",4927,4844
"priorregion2_spot_14",5752,4605
"priorregion2_spot_15",5546,4246
"priorregion2_spot_16",5408,5203
"priorregion2_spot_17",5477,5323
"priorregion2_spot_18",5821,5203
"priorregion2_spot_19",5546,3288
"priorregion2_spot_20",5959,4246
"priorregion2_spot_21",6028,3168
"priorregion2_spot_22",4996,5203
"priorregion2_spot_23",5615,4844
"priorregion2_spot_24",5477,4605
"priorregion2_spot_25",5064,4365
"priorregion2_spot_26",5615,3168
"priorregion2_spot_27",5684,4485
"priorregion2_spot_28",5684,3048
"priorregion2_spot_29",5271,3288
"priorregion2_spot_30",4996,4246
"priorregion2_spot_31",5546,5203
"priorregion2_spot_32",5340,3168
"priorregion2_spot_33",5752,4126
"priorregion2_spot_34",4652,4844
"priorregion2_spot_35",4652,5323
"priorregion2_spot_36",5408,3767
"priorregion2_spot_37",6096,3767
"priorregion2_spot_38",5615,4605
"priorregion2_spot_39",4996,4964
"priorregion2_spot_40",5684,5203
"priorregion2_spot_41",5821,3767
"priorregion2_spot_42",5408,4006
"priorregion2_spot_43",5133,4246
"priorregion2_spot_44",5202,3168
"priorregion2_spot_45",5684,4246
"priorregion2_spot_46",5408,4485
"priorregion2_spot_47",5133,4006
"priorregion2_spot_48",5752,3886
"priorregion2_spot_49",4583,4964
"priorregion2_spot_50",6096,3527
"priorregion2_spot_51",5752,3408
"priorregion2_spot_52",5684,4724
"priorregion2_spot_53",5271,4964
"priorregion2_spot_54",5340,3647
"priorregion2_spot_55",5271,4485
"priorregion2_spot_56",6165,3647
"priorregion2_spot_57",6028,3408
"priorregion2_spot_58",6165,4126
"priorregion2_spot_59",6028,4365
"priorregion2_spot_60",5271,5203
"priorregion2_spot_61",5959,3767
"priorregion2_spot_62",5546,3048
"priorregion2_spot_63",5752,4365
"priorregion2_spot_64",5684,3527
"priorregion2_spot_65",5477,3647
"priorregion2_spot_66",5477,3408
"priorregion2_spot_67",5959,4724
"priorregion2_spot_68",6097,3049
"priorregion2_spot_69",6234,4006
"priorregion2_spot_70",6096,4006
"priorregion2_spot_71",5821,4724
"priorregion2_spot_72",5821,3288
"priorregion2_spot_73",5133,4485
"priorregion2_spot_74",5271,4006
"priorregion2_spot_75",5064,5084
"priorregion2_spot_76",5890,3886
"priorregion2_spot_77",4927,5083
"priorregion2_spot_78",5477,3168
"priorregion2_spot_79",5546,4485
"priorregion2_spot_80",5752,5323
"priorregion2_spot_81",5890,4365
"priorregion2_spot_82",5752,4844
"priorregion2_spot_83",5477,3886
"priorregion2_spot_84",5271,3527
"priorregion2_spot_85",5271,4724
"priorregion2_spot_86",5890,4126
"priorregion2_spot_87",5477,5084
"priorregion2_spot_88",5959,3527
"priorregion2_spot_89",4858,4724
"priorregion2_spot_90",5821,4006
"priorregion2_spot_91",5890,3408
"priorregion2_spot_92",4789,4844
"priorregion2_spot_93",5546,3527
"priorregion2_spot_94",5340,5323
"priorregion2_spot_95",5409,3048
"priorregion2_spot_96",5959,4006
"priorregion2_spot_97",5890,5323
"priorregion2_spot_98",4445,4964
"priorregion2_spot_99",5064,4605
"priorregion2_spot_100",5064,4844
"priorregion2_spot_101",5340,4605
"priorregion2_spot_102",5890,4605
"priorregion2_spot_103",5821,4246
"priorregion2_spot_104",5408,4964
"priorregion2_spot_105",5684,3288
"priorregion2_spot_106",5202,4126
"priorregion2_spot_107",5202,4365
"priorregion2_spot_108",5546,4964
"priorregion2_spot_109",4376,5083
"priorregion2_spot_110",6165,4365
"priorregion2_spot_111",5340,5084
"priorregion2_spot_112",5615,5084
"priorregion2_spot_113",5202,4605
"priorregion2_spot_114",4720,4964
"priorregion2_spot_115",5890,3168
"priorregion2_spot_116",4858,5203
"priorregion2_spot_117",5546,4006
"priorregion2_spot_118",5133,3767
"priorregion2_spot_119",4996,4485
"priorregion2_spot_120",5202,3647
"priorregion2_spot_121",5408,4724
"priorregion2_spot_122",5477,4365
"priorregion2_spot_123",6096,3288
"priorregion2_spot_124",4789,5323
"priorregion2_spot_125",5202,4844
"priorregion2_spot_126",6096,4246
"priorregion2_spot_127",5615,3647
"priorregion2_spot_128",4858,4964
"priorregion2_spot_129",4996,4724
"priorregion2_spot_130",5133,4724
"priorregion2_spot_131",4789,5083
"priorregion2_spot_132",5408,4246
"priorregion2_spot_133",5202,5084
"priorregion2_spot_134",5615,5323
"priorregion2_spot_135",5202,3408
"priorregion2_spot_136",5340,4126
"priorregion2_spot_137",5684,4964
"priorregion2_spot_138",4514,5083
"priorregion2_spot_139",4583,5203
"priorregion2_spot_140",5133,4964
"priorregion2_spot_141",5340,4365
"priorregion2_spot_142",5064,5323
"priorregion2_spot_143",5959,4485
"priorregion2_spot_144",5615,3408
"priorregion2_spot_145",5959,3049
"priorregion2_spot_146",5477,4844
"priorregion2_spot_147",5408,3527
"priorregion2_spot_148",5546,4724
"priorregion2_spot_149",5821,4485
"priorregion2_spot_150",4927,5323
"priorregion2_spot_151",5615,3886
"priorregion2_spot_152",5752,5084
"priorregion2_spot_153",5684,3767
"priorregion2_spot_154",4927,4605
"priorregion2_spot_155",5340,4844
"priorregion2_spot_156",5821,3527
"priorregion2_spot_157",6028,3647
"priorregion2_spot_158",5821,4964
"priorregion2_spot_159",6028,3886
"priorregion2_spot_160",5890,3647
"priorregion2_spot_161",6234,3767
"priorregion2_spot_162",5890,4844
"priorregion2_spot_163",5959,3288
"priorregion2_spot_164",5615,4365
"priorregion2_spot_165",5340,3886
"priorregion2_spot_166",5271,3048
"priorregion2_spot_167",5409,3288
"priorregion2_spot_168",4652,5083
"priorregion2_spot_169",5271,3767
"priorregion2_spot_170",6165,3887
"priorregion2_spot_171",5133,5203
"priorregion2_spot_172",6028,4605
"priorregion2_spot_173",5202,3886
"priorregion2_spot_174",5340,3408
"priorregion2_spot_175",5615,4126
"priorregion3_spot_1",6440,4126
"priorregion3_spot_2",6784,4246
"priorregion3_spot_3",6165,5084
"priorregion3_spot_4",6853,4605
"priorregion3_spot_5",6096,4964
"priorregion3_spot_6",6716,3887
"priorregion3_spot_7",6234,3288
"priorregion3_spot_8",6578,4844
"priorregion3_spot_9",6372,4485
"priorregion3_spot_10",6234,4485
"priorregion3_spot_11",6372,4725
"priorregion3_spot_12",6784,4006
"priorregion3_spot_13",6303,3168
"priorregion3_spot_14",6303,3887
"priorregion3_spot_15",6647,4246
"priorregion3_spot_16",6716,3168
"priorregion3_spot_17",6372,4246
"priorregion3_spot_18",6853,3887
"priorregion3_spot_19",6853,3647
"priorregion3_spot_20",6165,3168
"priorregion3_spot_21",6440,4365
"priorregion3_spot_22",6372,4964
"priorregion3_spot_23",6647,3527
"priorregion3_spot_24",6647,4006
"priorregion3_spot_25",6578,3408
"priorregion3_spot_26",6647,3049
"priorregion3_spot_27",6303,4365
"priorregion3_spot_28",6578,4605
"priorregion3_spot_29",6509,4006
"priorregion3_spot_30",6509,3049
"priorregion3_spot_31",6096,5203
"priorregion3_spot_32",6372,3288
"priorregion3_spot_33",6303,3647
"priorregion3_spot_34",6440,5084
"priorregion3_spot_35",6509,5203
"priorregion3_spot_36",6509,3527
"priorregion3_spot_37",6303,3408
"priorregion3_spot_38",6372,3049
"priorregion3_spot_39",6234,3527
"priorregion3_spot_40",6234,4724
"priorregion3_spot_41",6096,4724
"priorregion3_spot_42",6716,4126
"priorregion3_spot_43",6716,3408
"priorregion3_spot_44",6372,3767
"priorregion3_spot_45",6716,4605
"priorregion3_spot_46",6716,4365
"priorregion3_spot_47",6853,3408
"priorregion3_spot_48",6028,5084
"priorregion3_spot_49",6509,3767
"priorregion3_spot_50",6784,3288
"priorregion3_spot_51",6578,3887
"priorregion3_spot_52",6509,4246
"priorregion3_spot_53",6165,4844
"priorregion3_spot_54",6303,4844
"priorregion3_spot_55",6441,3168
"priorregion3_spot_56",6647,4485
"priorregion3_spot_57",6028,5323
"priorregion3_spot_58",6715,5323
"priorregion3_spot_59",6509,4725
"priorregion3_spot_60",6853,5084
"priorregion3_spot_61",6853,4365
"priorregion3_spot_62",6578,5084
"priorregion3_spot_63",6853,5323
"priorregion3_spot_64",6784,3527
"priorregion3_spot_65",6028,4844
"priorregion3_spot_66",5959,4964
"priorregion3_spot_67",6372,5203
"priorregion3_spot_68",5959,5203
"priorregion3_spot_69",6165,5323
"priorregion3_spot_70",6716,4844
"priorregion3_spot_71",6234,4246
"priorregion3_spot_72",6784,5203
"priorregion3_spot_73",6647,3288
"priorregion3_spot_74",6234,5203
"priorregion3_spot_75",6509,3288
"priorregion3_spot_76",6716,3647
"priorregion3_spot_77",6785,3049
"priorregion3_spot_78",6578,4365
"priorregion3_spot_79",6784,3767
"priorregion3_spot_80",6784,4964
"priorregion3_spot_81",6853,4844
"priorregion3_spot_82",6303,5323
"priorregion3_spot_83",6578,3168
"priorregion3_spot_84",6234,4964
"priorregion3_spot_85",6165,4605
"priorregion3_spot_86",6647,4964
"priorregion3_spot_87",6372,4006
"priorregion3_spot_88",6440,3887
"priorregion3_spot_89",6303,4605
"priorregion3_spot_90",6647,5203
"priorregion3_spot_91",6303,5084
"priorregion3_spot_92",6509,4485
"priorregion3_spot_93",6578,3647
"priorregion3_spot_94",6716,5084
"priorregion3_spot_95",5890,5084
"priorregion3_spot_96",6303,4126
"priorregion3_spot_97",6784,4725
"priorregion3_spot_98",6440,3647
"priorregion3_spot_99",6440,4605
"priorregion3_spot_100",6234,3049
"priorregion3_spot_101",6165,3408
"priorregion3_spot_102",6647,4725
"priorregion3_spot_103",6853,4126
"priorregion3_spot_104",6440,3408
"priorregion3_spot_105",6578,5323
"priorregion3_spot_106",6372,3527
"priorregion3_spot_107",6647,3767
"priorregion3_spot_108",6440,5323
"priorregion3_spot_109",6578,4126
"priorregion3_spot_110",6853,3168
"priorregion3_spot_111",6440,4844
"priorregion3_spot_112",6784,4485
"priorregion3_spot_113",6509,4964
"priorregion4_spot_1",4239,5802
"priorregion4_spot_2",3757,4724
"priorregion4_spot_3",5064,5802
"priorregion4_spot_4",3757,5682
"priorregion4_spot_5",4170,5682
"priorregion4_spot_6",3895,5921
"priorregion4_spot_7",4789,5802
"priorregion4_spot_8",4239,5083
"priorregion4_spot_9",4927,5562
"priorregion4_spot_10",4308,5203
"priorregion4_spot_11",4170,5443
"priorregion4_spot_12",3826,4844
"priorregion4_spot_13",3826,5083
"priorregion4_spot_14",4720,5443
"priorregion4_spot_15",4514,5323
"priorregion4_spot_16",4170,5921
"priorregion4_spot_17",4514,5562
"priorregion4_spot_18",3757,4964
"priorregion4_spot_19",4101,5323
"priorregion4_spot_20",4583,5682
"priorregion4_spot_21",4583,5921
"priorregion4_spot_22",4858,5443
"priorregion4_spot_23",4101,5083
"priorregion4_spot_24",3895,5203
"priorregion4_spot_25",3895,4964
"priorregion4_spot_26",4032,5682
"priorregion4_spot_27",4101,5562
"priorregion4_spot_28",4651,5802
"priorregion4_spot_29",4514,5802
"priorregion4_spot_30",3757,5203
"priorregion4_spot_31",5271,5443
"priorregion4_spot_32",3964,5323
"priorregion4_spot_33",4583,5443
"priorregion4_spot_34",5133,5443
"priorregion4_spot_35",3826,5323
"priorregion4_spot_36",5339,5562
"priorregion4_spot_37",4307,5921
"priorregion4_spot_38",3964,5083
"priorregion4_spot_39",4445,5921
"priorregion4_spot_40",4376,5562
"priorregion4_spot_41",3963,5802
"priorregion4_spot_42",4239,5323
"priorregion4_spot_43",4789,5562
"priorregion4_spot_44",3826,5562
"priorregion4_spot_45",5133,5682
"priorregion4_spot_46",4032,5443
"priorregion4_spot_47",4101,5802
"priorregion4_spot_48",3757,5443
"priorregion4_spot_49",5271,5682
"priorregion4_spot_50",4308,5443
"priorregion4_spot_51",3964,5562
"priorregion4_spot_52",4445,5682
"priorregion4_spot_53",3826,5802
"priorregion4_spot_54",4032,5921
"priorregion4_spot_55",4307,5682
"priorregion4_spot_56",4376,5323
"priorregion4_spot_57",4032,5203
"priorregion4_spot_58",3757,5921
"priorregion4_spot_59",4720,5682
"priorregion4_spot_60",3895,5682
"priorregion4_spot_61",4445,5443
"priorregion4_spot_62",4858,5682
"priorregion4_spot_63",4652,5562
"priorregion4_spot_64",3895,5443
"priorregion4_spot_65",5064,5562
"priorregion4_spot_66",5202,5562
"priorregion4_spot_67",4995,5682
"priorregion4_spot_68",4445,5203
"priorregion4_spot_69",4032,4964
"priorregion4_spot_70",4376,5802
"priorregion4_spot_71",5202,5802
"priorregion4_spot_72",4239,5562
"priorregion4_spot_73",4170,5203
"priorregion4_spot_74",4927,5802
"priorregion4_spot_75",4996,5443
"priorregion5_spot_1",6647,5443
"priorregion5_spot_2",6303,5562
"priorregion5_spot_3",5890,5562
"priorregion5_spot_4",6509,5443
"priorregion5_spot_5",6715,5563
"priorregion5_spot_6",6234,5443
"priorregion5_spot_7",6647,5922
"priorregion5_spot_8",6578,5562
"priorregion5_spot_9",6027,5562
"priorregion5_spot_10",6440,5802
"priorregion5_spot_11",5683,5443
"priorregion5_spot_12",6784,5443
"priorregion5_spot_13",5408,5443
"priorregion5_spot_14",5271,5921
"priorregion5_spot_15",6096,5443
"priorregion5_spot_16",5752,5562
"priorregion5_spot_17",6096,5682
"priorregion5_spot_18",5546,5682
"priorregion5_spot_19",5615,5802
"priorregion5_spot_20",6784,5682
"priorregion5_spot_21",5133,5921
"priorregion5_spot_22",5546,5922
"priorregion5_spot_23",6371,5682
"priorregion5_spot_24",5683,5682
"priorregion5_spot_25",6440,5562
"priorregion5_spot_26",5477,5562
"priorregion5_spot_27",6578,5802
"priorregion5_spot_28",5339,5802
"priorregion5_spot_29",5821,5922
"priorregion5_spot_30",5959,5682
"priorregion5_spot_31",5959,5443
"priorregion5_spot_32",6853,5563
"priorregion5_spot_33",4720,5921
"priorregion5_spot_34",6715,5802
"priorregion5_spot_35",6784,5922
"priorregion5_spot_36",6234,5922
"priorregion5_spot_37",6165,5802
"priorregion5_spot_38",5408,5682
"priorregion5_spot_39",5546,5443
"priorregion5_spot_40",6509,5682
"priorregion5_spot_41",5683,5922
"priorregion5_spot_42",6647,5682
"priorregion5_spot_43",5615,5562
"priorregion5_spot_44",5959,5922
"priorregion5_spot_45",6509,5922
"priorregion5_spot_46",5821,5682
"priorregion5_spot_47",6371,5922
"priorregion5_spot_48",6027,5802
"priorregion5_spot_49",4995,5921
"priorregion5_spot_50",5890,5802
"priorregion5_spot_51",5821,5443
"priorregion5_spot_52",4858,5921
"priorregion5_spot_53",5477,5802
"priorregion5_spot_54",6096,5922
"priorregion5_spot_55",5752,5802
"priorregion5_spot_56",6234,5682
"priorregion5_spot_57",5408,5922
"priorregion5_spot_58",6303,5802
"priorregion5_spot_59",6853,5802
"priorregion5_spot_60",6371,5443
"priorregion5_spot_61",6165,5562
